_id,hostname,startTime,startTimeLocal,cmdLine.config,cmdLine.net.bindIp,cmdLine.net.port,cmdLine.service,cmdLine.storage.dbPath,cmdLine.systemLog.destination,cmdLine.systemLog.logAppend,cmdLine.systemLog.path,pid,buildinfo.version,buildinfo.gitVersion,buildinfo.targetMinOS,buildinfo.allocator,buildinfo.javascriptEngine,buildinfo.sysInfo,buildinfo.versionArray[0],buildinfo.versionArray[1],buildinfo.versionArray[2],buildinfo.versionArray[3],buildinfo.openssl.running,buildinfo.buildEnvironment.distmod,buildinfo.buildEnvironment.distarch,buildinfo.buildEnvironment.cc,buildinfo.buildEnvironment.ccflags,buildinfo.buildEnvironment.cxx,buildinfo.buildEnvironment.cxxflags,buildinfo.buildEnvironment.linkflags,buildinfo.buildEnvironment.target_arch,buildinfo.buildEnvironment.target_os,buildinfo.buildEnvironment.cppdefines,buildinfo.bits,buildinfo.debug,buildinfo.maxBsonObjectSize,buildinfo.storageEngines[0],buildinfo.storageEngines[1]
LAPTOP-G13NJNP2-1738130131041,LAPTOP-G13NJNP2,2025-01-29T05:55:31.000Z,Wed Jan 29 11:25:31.041,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,27172,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738130583769,LAPTOP-G13NJNP2,2025-01-29T06:03:03.000Z,Wed Jan 29 11:33:03.769,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,6392,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738211432543,LAPTOP-G13NJNP2,2025-01-30T04:30:32.000Z,Thu Jan 30 10:00:32.543,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,24352,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738220299227,LAPTOP-G13NJNP2,2025-01-30T06:58:19.000Z,Thu Jan 30 12:28:19.227,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,4492,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738232332333,LAPTOP-G13NJNP2,2025-01-30T10:18:52.000Z,Thu Jan 30 15:48:52.333,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,4568,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738241475860,LAPTOP-G13NJNP2,2025-01-30T12:51:15.000Z,Thu Jan 30 18:21:15.860,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,4848,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738760342016,LAPTOP-G13NJNP2,2025-02-05T12:59:02.000Z,Wed Feb  5 18:29:02.016,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,5860,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1738825584582,LAPTOP-G13NJNP2,2025-02-06T07:06:24.000Z,Thu Feb  6 12:36:24.582,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,4604,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
LAPTOP-G13NJNP2-1739373611593,LAPTOP-G13NJNP2,2025-02-12T15:20:11.000Z,Wed Feb 12 20:50:11.593,C:\Program Files\MongoDB\Server\8.0\bin\mongod.cfg,127.0.0.1,27017,true,C:\Program Files\MongoDB\Server\8.0\data,file,true,C:\Program Files\MongoDB\Server\8.0\log\mongod.log,5320,8.0.4,bc35ab4305d9920d9d0491c1c9ef9b72383d31f9,Windows 7/Windows Server 2008 R2,tcmalloc-gperf,mozjs,deprecated,8,0,4,0,Windows SChannel,windows,x86_64,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/nologo /WX /FImongo/platform/basic.h /fp:strict /EHsc /W3 /wd4068 /wd4244 /wd4267 /wd4290 /wd4351 /wd4355 /wd4373 /wd4800 /wd4251 /wd4291 /we4013 /we4099 /we4930 /errorReport:none /MD /O2 /Oy- /bigobj /utf-8 /permissive- /Zc:__cplusplus /Zc:sizedDealloc /volatile:iso /diagnostics:caret /std:c++20 /Gw /Gy /Zc:inline,cl: Microsoft (R) C/C++ Optimizing Compiler Version 19.31.31107 for x64,/TP,/nologo /DEBUG /INCREMENTAL:NO /LARGEADDRESSAWARE /OPT:REF,x86_64,windows,SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG BOOST_ALL_NO_LIB _UNICODE UNICODE _SILENCE_CXX17_ALLOCATOR_VOID_DEPRECATION_WARNING _SILENCE_CXX17_OLD_ALLOCATOR_MEMBERS_DEPRECATION_WARNING _SILENCE_CXX17_CODECVT_HEADER_DEPRECATION_WARNING _SILENCE_ALL_CXX20_DEPRECATION_WARNINGS _CONSOLE _CRT_SECURE_NO_WARNINGS _ENABLE_EXTENDED_ALIGNED_STORAGE _SCL_SECURE_NO_WARNINGS _WIN32_WINNT 0x0A00 BOOST_USE_WINAPI_VERSION 0x0A00 NTDDI_VERSION 0x0A000000 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NATIVE_SYSLOG BOOST_LOG_WITHOUT_THREAD_ATTR BOOST_MATH_NO_LONG_DOUBLE_MATH_FUNCTIONS BOOST_SYSTEM_NO_DEPRECATED BOOST_THREAD_USES_DATETIME BOOST_THREAD_VERSION 5,64,false,16777216,devnull,wiredTiger
